2013-05-24 01:11:48 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-34/.t-34.info/Chrysanthemum.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-34/.t-34.info/Chrysanthemum.jpg
2013-05-24 01:13:33 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-34/.t-34.info/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-34/.t-34.info/Lighthouse - копия.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-34/.t-34.info/Lighthouse - копия.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-34/.t-34.info/Lighthouse - копия.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-34/.t-34.info/Lighthouse.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-34/.t-34.info/Lighthouse.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-34/.t-34.info/Lighthouse.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-34/mask.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-34/mask.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-34/mask.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-34/mask.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-34/t-90_d.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-34/t-90_d.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-34/t-90_d.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-34/t-90_d.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-34/t-90_n.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-34/t-90_n.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-34/t-90_n.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-34/t-90_n.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-34/t-90_s.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-34/t-90_s.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-34/t-90_s.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-34/t-90_s.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть Common/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть Common/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы Common/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша модели 535
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла Common/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/Chrysanthemum - копия.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/Chrysanthemum.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/Lighthouse - копия.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/Lighthouse.jpg
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/t-34.files
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/.t-34.info/t-34.info
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/mask.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/t-90_d.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/t-90_n.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-34/t-90_s.dds
2013-05-24 01:13:34 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели t-90 cabin.info
2013-05-24 01:13:34 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:34 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:34 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/vhc_t-90/.cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-90/.cabin.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-90/.cabin.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-90/.cabin.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов Common/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть Common/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть Common/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы Common/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша модели 533
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла Common/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/.cabin.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/.cabin.info/t-90 cabin.info
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Обработка файла objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 01:13:35 DB tDatabaseOp 	 SearchInfo 	 Найден файл описания модели t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 SearchInfo 	 Такая модель в базе есть objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 SearchInfo 	 Такая модель на диске есть objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 UpdateModelFiles 	 Подсчет суммарного хеша файлов модели t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Обработка файлов в инфо-папке C:/Server/Project 1/objects/vhc_t-90/.t-90.info
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-90/.t-90.info/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-90/.t-90.info/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-90/.t-90.info/Jellyfish.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 На диске найден файл objects/vhc_t-90/.t-90.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 В базе есть файл objects/vhc_t-90/.t-90.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckInfoFiles 	 Файл не изменялся objects/vhc_t-90/.t-90.info/Lighthouse.jpg
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Проверка файла objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл в базе есть objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл есть на диске objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:35 DB tDatabaseOp 	 CheckFile 	 Файл не изменялся objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Проверим наличие файлов в базе и соответствие базе C:/Server/Project 1/objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть C:/Server/Project 1/objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/mask.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/mask.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/mask.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/mask.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/t-90_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/t-90_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/t-90_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/t-90_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/t-90_n.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/t-90_n.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/t-90_n.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/t-90_n.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/t-90_s.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/t-90_s.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/t-90_s.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/t-90_s.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/t-90kill_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл в базе есть objects/vhc_t-90/t-90kill_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл на диске есть objects/vhc_t-90/t-90kill_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файлы в базе и на диске совпадают, берем хеш с базы objects/vhc_t-90/t-90kill_d.dds
2013-05-24 01:13:36 DB tDatabaseOp 	 UpdateModelFiles 	 Файл списка файлов objects/vhc_t-90/tracks_d.dds
